episode,mean_td_loss,mean_reward,epsilon
1,2.09633,15.1575,0.943
2,1.14878,15.258,0.886
3,1.07911,15.5851,0.829
4,1.01463,15.7271,0.772
5,0.99017,15.61,0.715
6,0.95809,16.1054,0.658
7,0.92818,16.2444,0.601
8,0.87983,16.4435,0.544
9,0.86308,16.6308,0.487
10,0.83842,16.398,0.43
11,0.83348,17.0823,0.373
12,0.80117,16.9949,0.316
13,0.77101,17.2575,0.259
14,0.77286,17.3744,0.202
15,0.75884,17.5782,0.145
16,0.71517,17.8387,0.088
17,0.69195,17.9818,0.05
18,0.67394,18.027,0.05
19,0.68812,17.9953,0.05
20,0.66336,18.1283,0.05
21,0.67257,18.1004,0.05
22,0.64347,18.0268,0.05
