topology,tm_index,action,selected_K,k_paths,our_method_MLU,path_LP_opt_MLU,strict_full_mcf_MLU,path_LP_PR,strict_full_mcf_PR,DB,decision_ms,mcf_status,condition_compliant
germany50,0,OPTIMIZE_K10,10,8,27.90817419263279,10.69810166970565,10.698101669705647,0.3833321949283855,0.3833321949283854,0.03,73.8,Optimal,True
germany50,1,OPTIMIZE_K10,10,8,25.944387302274475,11.135516405728781,11.135516405728776,0.42920714511352365,0.4292071451135235,0.03,302.1,Optimal,True
germany50,2,OPTIMIZE_K10,10,8,23.485097029121384,10.403231615536523,10.403231615536516,0.44297162590542316,0.4429716259054229,0.03,62.0,Optimal,True
germany50,3,OPTIMIZE_K10,10,8,21.72471863364044,10.879612815088786,10.879612815088786,0.5007941874212285,0.5007941874212285,0.03,60.4,Optimal,True
germany50,4,OPTIMIZE_K10,10,8,18.15134325366227,10.1597970158291,10.159797015829099,0.5597270060869589,0.5597270060869588,0.03,59.8,Optimal,True
germany50,5,OPTIMIZE_K20,20,8,15.2294003149049,10.175427760417742,10.175427760417733,0.6681436924643137,0.6681436924643132,0.03,69.6,Optimal,True
germany50,6,OPTIMIZE_K20,20,8,13.892791486522716,10.121658598798602,10.121658598798604,0.7285547046911012,0.7285547046911013,0.0299999999999999,67.7,Optimal,True
germany50,7,OPTIMIZE_K20,20,8,12.222368418523905,9.80617778726447,9.80617778726446,0.8023140402479181,0.8023140402479172,0.03,67.2,Optimal,True
germany50,8,OPTIMIZE_K40,40,8,11.190523456616152,9.758709796291441,9.758709796291441,0.8720512346115336,0.8720512346115336,0.0299999999999999,76.3,Optimal,True
germany50,9,OPTIMIZE_K40,40,8,9.86040830737262,9.214080505233142,9.214080505233142,0.9344522273325924,0.9344522273325924,0.03,81.4,Optimal,True
germany50,10,OPTIMIZE_K40,40,8,9.848496953488302,9.212419731360209,9.212419731360205,0.9354137768298951,0.9354137768298947,0.0068798180174476,82.0,Optimal,True
germany50,11,OPTIMIZE_K40,40,8,10.177821934532185,9.542536229942746,9.542536229942744,0.9375813697001333,0.9375813697001331,0.0060580998414228,77.3,Optimal,True
germany50,12,OPTIMIZE_K40,40,8,6.583880844043866,6.258026515706025,6.258026515706024,0.9505072561219533,0.9505072561219532,0.0293335583227868,68.6,Optimal,True
germany50,13,OPTIMIZE_K30,30,8,13.390430287635017,11.092647620126451,11.092647620126446,0.8284011328873888,0.8284011328873884,0.03,72.5,Optimal,True
germany50,14,OPTIMIZE_K40,40,8,10.156040461072228,9.169441722518606,9.169441722518604,0.9028559661282147,0.9028559661282145,0.03,80.7,Optimal,True
germany50,15,OPTIMIZE_K40,40,8,10.061126649958362,9.401069390200249,9.401069390200245,0.9343952936164613,0.934395293616461,0.0086621616681574,76.8,Optimal,True
germany50,16,OPTIMIZE_K40,40,8,9.696868930115505,9.032659916813918,9.032659916813918,0.9315027337083255,0.9315027337083255,0.0069619381429819,75.8,Optimal,True
germany50,17,OPTIMIZE_K40,40,8,10.125486771571913,9.456230660485382,9.45623066048538,0.9339038086578199,0.9339038086578196,0.0038716134779418,78.1,Optimal,True
germany50,18,OPTIMIZE_K40,40,8,9.574003529246983,8.927711657242707,8.927711657242707,0.9324951291244084,0.9324951291244084,0.0049006176902487,78.2,Optimal,True
germany50,19,OPTIMIZE_K40,40,8,9.375611987246712,8.761694997006998,8.761694997006998,0.9345197954997709,0.9345197954997709,0.0060610844909416,78.1,Optimal,True
germany50,20,OPTIMIZE_K40,40,8,9.48200098575968,8.882119777753179,8.882119777753179,0.9367347452391728,0.9367347452391728,0.0102985549664111,78.1,Optimal,True
germany50,21,OPTIMIZE_K40,40,8,9.305916712860435,8.711848703171384,8.71184870317138,0.9361623332746928,0.9361623332746923,0.0078868517763705,82.2,Optimal,True
germany50,22,OPTIMIZE_K40,40,8,8.911074221341181,8.346461199091213,8.346461199091209,0.9366391741079012,0.9366391741079008,0.0067060811323597,78.2,Optimal,True
germany50,23,OPTIMIZE_K40,40,8,9.578250781897296,8.94562062811565,8.945620628115648,0.9339513896444115,0.9339513896444113,0.0090154636760082,76.5,Optimal,True
germany50,24,OPTIMIZE_K40,40,8,9.902204856553029,9.335962168167047,9.335962168167043,0.9428165043453675,0.942816504345367,0.0138397837169014,77.6,Optimal,True
germany50,25,OPTIMIZE_K40,40,8,9.542860149952414,8.924896501674358,8.924896501674358,0.9352433506760405,0.9352433506760405,0.0080302813224495,80.6,Optimal,True
germany50,26,OPTIMIZE_K40,40,8,9.646811292019493,9.027648539688562,9.027648539688562,0.9358168483255037,0.9358168483255037,0.0041714358336777,78.5,Optimal,True
germany50,27,OPTIMIZE_K40,40,8,9.568922907758148,8.977458054653383,8.977458054653379,0.9381889833572359,0.9381889833572356,0.0035621611587995,77.0,Optimal,True
germany50,28,OPTIMIZE_K40,40,8,9.840187220052307,9.25626067725553,9.256260677255522,0.9406590007142492,0.9406590007142485,0.0087328638322831,77.8,Optimal,True
germany50,29,OPTIMIZE_K40,40,8,10.152323312503032,9.548433855240365,9.548433855240365,0.9405171172475416,0.9405171172475416,0.0034068338480028,80.3,Optimal,True
germany50,30,OPTIMIZE_K40,40,8,9.472680120601066,8.90090908957582,8.900909089575816,0.9396399937772874,0.939639993777287,0.009525395528018,76.6,Optimal,True
germany50,31,OPTIMIZE_K40,40,8,9.325978979323596,8.78902295024782,8.789022950247817,0.9424236286328493,0.9424236286328491,0.0079725688472542,76.7,Optimal,True
germany50,32,OPTIMIZE_K40,40,8,8.808943962580077,8.32625611790145,8.326256117901448,0.9452048001747928,0.9452048001747926,0.0056457462158303,77.0,Optimal,True
germany50,33,OPTIMIZE_K40,40,8,8.909208053698746,8.400593384829426,8.400593384829426,0.9429113490442999,0.9429113490442999,0.0040690823777718,79.4,Optimal,True
germany50,34,OPTIMIZE_K40,40,8,8.754598291004315,8.249486173640982,8.24948617364098,0.942303221624417,0.9423032216244168,0.0053531056043649,76.9,Optimal,True
germany50,35,OPTIMIZE_K40,40,8,9.13835603707224,8.626903226118886,8.626903226118884,0.9440322954283564,0.9440322954283562,0.008011691981957,77.7,Optimal,True
germany50,36,OPTIMIZE_K40,40,8,9.275473464946202,8.763252336458212,8.763252336458208,0.9447768213208984,0.9447768213208979,0.0152026327088292,80.8,Optimal,True
germany50,37,OPTIMIZE_K40,40,8,9.103111905912131,8.605428008604395,8.605428008604395,0.9453281578374854,0.9453281578374854,0.0126785954919519,79.6,Optimal,True
germany50,38,OPTIMIZE_K40,40,8,9.219108131905683,8.686896886662637,8.686896886662634,0.9422708533593225,0.9422708533593221,0.0040474506058792,77.0,Optimal,True
germany50,39,OPTIMIZE_K40,40,8,9.236821129796391,8.698580549784495,8.698580549784491,0.9417288077306569,0.9417288077306565,0.0048469161492991,76.7,Optimal,True
germany50,40,OPTIMIZE_K40,40,8,9.166891466544447,8.655584999125406,8.655584999125404,0.9442224805120569,0.9442224805120568,0.0045629209059975,80.7,Optimal,True
germany50,41,OPTIMIZE_K40,40,8,9.16449763980263,8.626215820321159,8.626215820321159,0.9412644488942153,0.9412644488942153,0.0109418897657081,77.8,Optimal,True
germany50,42,OPTIMIZE_K40,40,8,8.858772296594264,8.338318333770445,8.33831833377044,0.9412498769130903,0.9412498769130897,0.0033146120044358,76.9,Optimal,True
germany50,43,OPTIMIZE_K40,40,8,8.988701044160468,8.456980562065201,8.456980562065201,0.9408456817639185,0.9408456817639185,0.0069230594204542,76.6,Optimal,True
germany50,44,OPTIMIZE_K40,40,8,9.19481832283678,8.693849432158917,8.693849432158913,0.9455161730130516,0.9455161730130511,0.0060610661962448,81.3,Optimal,True
germany50,45,OPTIMIZE_K40,40,8,9.146321805616502,8.628449749675928,8.628449749675928,0.9433792001914296,0.9433792001914296,0.0037868216760663,77.9,Optimal,True
germany50,46,OPTIMIZE_K40,40,8,8.65149838901426,8.142701933347237,8.142701933347235,0.9411897878507269,0.9411897878507267,0.0012247058931681,76.4,Optimal,True
germany50,47,OPTIMIZE_K40,40,8,8.807153433800227,8.281245013930675,8.281245013930675,0.9402862203068687,0.9402862203068687,0.0061386094411304,75.8,Optimal,True
germany50,48,OPTIMIZE_K40,40,8,8.440034827022016,7.946109867669385,7.946109867669383,0.9414783268700199,0.9414783268700196,0.0175274348770438,80.5,Optimal,True
germany50,49,OPTIMIZE_K40,40,8,8.726408603197722,8.190404356075124,8.190404356075124,0.9385767649103454,0.9385767649103454,0.0090115333287864,77.5,Optimal,True
germany50,50,OPTIMIZE_K40,40,8,8.993405849403045,8.469468094971216,8.469468094971216,0.9417420092893276,0.9417420092893276,0.0113171444227832,76.9,Optimal,True
germany50,51,OPTIMIZE_K40,40,8,9.339354243681743,8.850370379177184,8.850370379177184,0.9476426472595397,0.9476426472595397,0.0139707220036811,76.0,Optimal,True
germany50,52,OPTIMIZE_K40,40,8,8.34666356580864,7.895172409559018,7.895172409559018,0.9459075889797314,0.9459075889797314,0.0037603969670546,79.6,Optimal,True
germany50,53,OPTIMIZE_K40,40,8,8.137236474984338,7.682456313370859,7.682456313370858,0.9441112270717985,0.9441112270717984,0.010649403845961,75.8,Optimal,True
germany50,54,OPTIMIZE_K40,40,8,7.95966274126765,7.496135005663018,7.496135005663018,0.9417654050590075,0.9417654050590075,0.0023548887920513,75.7,Optimal,True
germany50,55,OPTIMIZE_K40,40,8,7.97416283335996,7.491943956166962,7.491943956166961,0.9395273350607247,0.9395273350607246,0.0085443681164075,79.0,Optimal,True
germany50,56,OPTIMIZE_K40,40,8,7.594048432569371,7.1531178620738505,7.1531178620738505,0.941937350754249,0.941937350754249,0.0231921526741611,80.5,Optimal,True
germany50,57,OPTIMIZE_K40,40,8,7.708725751833953,7.28965334498771,7.28965334498771,0.9456366174725385,0.9456366174725385,0.01737573734572,78.0,Optimal,True
germany50,58,OPTIMIZE_K40,40,8,7.8387051486891774,7.39059003930497,7.39059003930497,0.9428330188616493,0.9428330188616493,0.0069752539224811,75.8,Optimal,True
germany50,59,OPTIMIZE_K40,40,8,7.686008536972293,7.2095166496787,7.209516649678699,0.938005287789949,0.9380052877899488,0.0065362141548028,79.9,Optimal,True
germany50,60,OPTIMIZE_K40,40,8,8.399684251631877,7.962641521306615,7.9626415213066135,0.9479691477402435,0.9479691477402433,0.0149776752511225,78.4,Optimal,True
