topology,timestep,pathopt_mlu,status
vtlwavenet2011,0,14550.176847553254,Optimal
vtlwavenet2011,1,14877.348314857483,Optimal
vtlwavenet2011,2,15244.86591386795,Optimal
vtlwavenet2011,3,15510.679258823395,Optimal
vtlwavenet2011,4,15690.465946769715,Optimal
vtlwavenet2011,5,15946.11080007553,Optimal
vtlwavenet2011,6,16083.641253662112,Optimal
vtlwavenet2011,7,16291.700104999542,Optimal
vtlwavenet2011,8,16512.13338060379,Optimal
vtlwavenet2011,9,16589.520325183876,Optimal
vtlwavenet2011,10,16706.55663204193,Optimal
vtlwavenet2011,11,16741.551498603825,Optimal
vtlwavenet2011,12,16881.201563930517,Optimal
vtlwavenet2011,13,16937.62530040741,Optimal
vtlwavenet2011,14,16936.483402729034,Optimal
vtlwavenet2011,15,16958.829418087007,Optimal
vtlwavenet2011,16,17176.336552524568,Optimal
vtlwavenet2011,17,17367.234056472782,Optimal
vtlwavenet2011,18,17425.79931163788,Optimal
vtlwavenet2011,19,17575.282896709443,Optimal
vtlwavenet2011,20,17744.98796339035,Optimal
vtlwavenet2011,21,17727.22608280182,Optimal
vtlwavenet2011,22,17832.044253349304,Optimal
vtlwavenet2011,23,17909.22512331009,Optimal
vtlwavenet2011,24,17994.59038324356,Optimal
vtlwavenet2011,25,17991.584887123125,Optimal
vtlwavenet2011,26,18010.505687618257,Optimal
vtlwavenet2011,27,18020.34016132356,Optimal
vtlwavenet2011,28,17961.50156259537,Optimal
vtlwavenet2011,29,17967.00402898789,Optimal
vtlwavenet2011,30,17816.367460060123,Optimal
vtlwavenet2011,31,17850.894945335393,Optimal
vtlwavenet2011,32,17717.40590972901,Optimal
vtlwavenet2011,33,17620.693424606325,Optimal
vtlwavenet2011,34,17490.639546585087,Optimal
vtlwavenet2011,35,17358.16594362259,Optimal
vtlwavenet2011,36,17152.22085208893,Optimal
vtlwavenet2011,37,17123.345192813875,Optimal
vtlwavenet2011,38,16875.92828426361,Optimal
vtlwavenet2011,39,16795.5395983696,Optimal
vtlwavenet2011,40,16707.255311393743,Optimal
vtlwavenet2011,41,16635.363626766204,Optimal
vtlwavenet2011,42,16606.134028053282,Optimal
vtlwavenet2011,43,16517.588565349586,Optimal
vtlwavenet2011,44,16429.712051486968,Optimal
vtlwavenet2011,45,16341.897718334198,Optimal
vtlwavenet2011,46,16142.163392829894,Optimal
vtlwavenet2011,47,16002.472973251346,Optimal
vtlwavenet2011,48,15796.282053375247,Optimal
vtlwavenet2011,49,15575.850601863864,Optimal
vtlwavenet2011,50,15295.789995861056,Optimal
vtlwavenet2011,51,15128.63741436005,Optimal
vtlwavenet2011,52,14858.531645774841,Optimal
vtlwavenet2011,53,14580.100080204013,Optimal
vtlwavenet2011,54,14258.223257064823,Optimal
vtlwavenet2011,55,13952.441170978545,Optimal
vtlwavenet2011,56,13666.201748943331,Optimal
vtlwavenet2011,57,13376.74608488083,Optimal
vtlwavenet2011,58,13076.920274734497,Optimal
vtlwavenet2011,59,12725.225053787231,Optimal
vtlwavenet2011,60,12414.72880821228,Optimal
vtlwavenet2011,61,12104.654716110232,Optimal
