topology,timestep,pathopt_mlu,status
tiscali,0,778.1915725708012,Optimal
tiscali,1,809.2038970947267,Optimal
tiscali,2,818.4278694152838,Optimal
tiscali,3,820.3577671051029,Optimal
tiscali,4,869.5914085388191,Optimal
tiscali,5,891.747659301758,Optimal
tiscali,6,881.035599517823,Optimal
tiscali,7,891.9692367553714,Optimal
tiscali,8,879.6358844757082,Optimal
tiscali,9,879.4286933898927,Optimal
tiscali,10,883.5391181945806,Optimal
tiscali,11,877.7189598083503,Optimal
tiscali,12,886.8894073486332,Optimal
tiscali,13,893.8637596130375,Optimal
tiscali,14,877.9899090160063,Optimal
tiscali,15,886.7209938049325,Optimal
tiscali,16,884.5698646199,Optimal
tiscali,17,892.3068859100352,Optimal
tiscali,18,897.7245183771431,Optimal
tiscali,19,906.614339238951,Optimal
tiscali,20,903.6278634160572,Optimal
tiscali,21,918.3083237388,Optimal
tiscali,22,909.8644185499734,Optimal
tiscali,23,916.0589776819967,Optimal
tiscali,24,913.1987568942013,Optimal
tiscali,25,915.0068620161616,Optimal
tiscali,26,917.9342691594932,Optimal
tiscali,27,916.3600157998159,Optimal
tiscali,28,915.5461569005811,Optimal
tiscali,29,910.554103608573,Optimal
tiscali,30,904.4690008684013,Optimal
tiscali,31,904.7572890541844,Optimal
tiscali,32,890.0747485421005,Optimal
tiscali,33,883.1237773201843,Optimal
tiscali,34,876.375990503492,Optimal
tiscali,35,869.8218331770491,Optimal
tiscali,36,865.1826320301521,Optimal
tiscali,37,853.7358662345221,Optimal
tiscali,38,844.7593214555247,Optimal
tiscali,39,831.739029901679,Optimal
tiscali,40,825.6031986236922,Optimal
tiscali,41,825.1717336134556,Optimal
tiscali,42,817.1087882648858,Optimal
tiscali,43,812.6417764143844,Optimal
tiscali,44,809.4607450658898,Optimal
tiscali,45,799.0035721172333,Optimal
tiscali,46,787.398012334666,Optimal
tiscali,47,776.957761729864,Optimal
tiscali,48,765.8151584278693,Optimal
tiscali,49,760.0681776914469,Optimal
tiscali,50,745.9646007191102,Optimal
tiscali,51,729.1561705502613,Optimal
tiscali,52,718.2430408824829,Optimal
tiscali,53,705.0817594701641,Optimal
tiscali,54,690.4816375038889,Optimal
tiscali,55,674.3762889515331,Optimal
tiscali,56,660.1774234772241,Optimal
tiscali,57,648.6164396806213,Optimal
tiscali,58,627.8142273989631,Optimal
tiscali,59,614.1228234377803,Optimal
tiscali,60,604.1792300831326,Optimal
tiscali,61,585.947938381555,Optimal
tiscali,62,570.3881885875378,Optimal
tiscali,63,565.2314543290593,Optimal
tiscali,64,557.9195454597559,Optimal
tiscali,65,553.3364407279304,Optimal
tiscali,66,548.4758479881311,Optimal
tiscali,67,543.5101177978547,Optimal
tiscali,68,543.1921344237147,Optimal
tiscali,69,539.5363566658813,Optimal
tiscali,70,537.9305820118309,Optimal
tiscali,71,531.2018866729844,Optimal
tiscali,72,534.6757450103788,Optimal
tiscali,73,537.6204422517451,Optimal
tiscali,74,539.2950524243502,Optimal
tiscali,75,540.8388691122216,Optimal
tiscali,76,545.8575500141504,Optimal
tiscali,77,546.8978331479641,Optimal
tiscali,78,552.3684276580823,Optimal
tiscali,79,558.8547592857253,Optimal
tiscali,80,568.2545108448487,Optimal
tiscali,81,579.062594985962,Optimal
tiscali,82,583.0130202206807,Optimal
tiscali,83,592.7759586334232,Optimal
tiscali,84,604.1828508377077,Optimal
tiscali,85,615.1178424835208,Optimal
tiscali,86,627.5243701934818,Optimal
tiscali,87,642.3710737228397,Optimal
tiscali,88,670.0533691406251,Optimal
tiscali,89,682.990064811707,Optimal
tiscali,90,700.6530181884767,Optimal
tiscali,91,735.4466381073,Optimal
tiscali,92,744.454449462891,Optimal
tiscali,93,776.76445350647,Optimal
tiscali,94,794.3752632141116,Optimal
tiscali,95,807.6502033233646,Optimal
tiscali,96,848.9264175415043,Optimal
tiscali,97,859.3269676208499,Optimal
tiscali,98,886.3565368652347,Optimal
tiscali,99,901.2780445098882,Optimal
tiscali,100,896.4223838806154,Optimal
tiscali,101,918.7727607727056,Optimal
tiscali,102,927.4048927307134,Optimal
tiscali,103,962.0808357238775,Optimal
tiscali,104,939.3272552490238,Optimal
tiscali,105,950.406012725831,Optimal
tiscali,106,942.0561370849612,Optimal
tiscali,107,954.900822448731,Optimal
tiscali,108,945.1860893249516,Optimal
tiscali,109,951.7466239929205,Optimal
tiscali,110,931.6666950226012,Optimal
tiscali,111,929.9197700847304,Optimal
tiscali,112,949.4742996215825,Optimal
tiscali,113,947.1814659118654,Optimal
tiscali,114,951.3746025432316,Optimal
tiscali,115,956.5006338986552,Optimal
tiscali,116,967.8660842895531,Optimal
tiscali,117,960.0486949227145,Optimal
tiscali,118,957.2125126925417,Optimal
tiscali,119,963.3173376603642,Optimal
tiscali,120,963.2323011571756,Optimal
tiscali,121,965.2569779829661,Optimal
